,df,sum_sq,mean_sq,F,PR(>F)
C(Order),1.0,12.149058393253313,12.149058393253313,9.256621611698295,0.002789415314543364
C(P_R),3.0,30.97385172812421,10.32461724270807,7.866541752275838,6.749406890791609e-05
C(Odor),1.0,25.65798797538218,25.65798797538218,19.549357515436018,1.918480230585883e-05
C(Order):C(P_R),3.0,5.816209365501795,1.938736455167265,1.477163841788316,0.2232709366412664
C(Order):C(Odor),1.0,0.00011330412035855946,0.00011330412035855946,8.632877835108106e-05,0.9925995591868999
C(P_R):C(Odor),3.0,7.864808614798461,2.621602871599487,1.9974540423654823,0.11702055523107714
C(Order):C(P_R):C(Odor),3.0,7.125733814852742,2.375244604950914,1.809748527957378,0.14803110963438673
Residual,144.0,188.99599465290297,1.312472185089604,,
