,Model,Test NL,Test SE,Training NL,Training SE,Test P-value,Test R,Training P-value,Training R
0,matching(5),0.5636557697355904,0.010040179558574466,0.5719988341243454,0.007173134263517331,,,,
1,matching(10),0.5547155280910846,0.011206461638364213,0.5653198409089395,0.0075073319164610875,0.005106247817102313,0.48474747474747476,0.0007514537267696798,0.41366189989785496
2,matching(15),0.5567546084665611,0.012079207501220232,0.5656139221515097,0.008096431414332726,0.03777440692517345,0.35959595959595964,0.00565801350175842,0.33963227783452504
3,matching(30),0.5588633622332299,0.014092908658679673,0.5676466419494967,0.009542086277044663,0.23852185829890393,0.20404040404040402,0.0835040020930747,0.2124361593462717
4,matching(60),0.5524857349658432,0.01422620142108844,0.5621949182462933,0.009848413119617613,0.06186936265242405,0.32323232323232326,0.007371215739084188,0.32890704800817155
