,df,sum_sq,mean_sq,F,PR(>F)
C(Order),1.0,0.7414232605924931,0.7414232605924931,0.6075627969507812,0.4392401707721637
C(Odor),1.0,1.690671694280814,1.690671694280814,1.3854289147630874,0.24453824623156786
C(Order):C(Odor),1.0,21.39994065792326,21.39994065792326,17.53628256863491,0.00010921237341418881
Residual,52.0,63.45683070837024,1.2203236674686584,,
