index,learning_score,asymmetry_score
0.0,0.97,0.030000000000000027
1.0,0.8999999999999999,0.020000000000000018
2.0,0.88,0.10000000000000009
3.0,0.94,0.020000000000000018
4.0,0.76,0.15999999999999992
5.0,0.96,0.0
6.0,0.9199999999999999,0.06000000000000005
7.0,0.92,0.08000000000000007
8.0,0.95,0.030000000000000027
9.0,0.95,0.050000000000000044
10.0,1.0,0.0
11.0,0.97,0.010000000000000009
12.0,0.97,0.010000000000000009
13.0,0.9199999999999999,0.0
14.0,0.91,0.04999999999999993
15.0,0.96,0.0
16.0,0.94,0.040000000000000036
17.0,0.97,0.010000000000000009
18.0,0.9199999999999999,0.06000000000000005
19.0,0.8,0.15999999999999992
20.0,0.95,0.050000000000000044
21.0,0.9199999999999999,0.020000000000000018
22.0,0.9299999999999999,0.050000000000000044
23.0,0.97,0.010000000000000009
24.0,1.0,0.0
