ID,x,y,condition,CI,condition_names
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.5387318134307861,0.6787036657333374,3.0,-0.1437560912793705,C+ R-
1.0,0.008190508000552654,0.9896566867828369,3.0,-0.9889392623740829,C+ R-
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.988054633140564,0.003684103721752763,0.0,0.9950051380040892,C- R+
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.9193517565727234,0.00813957117497921,1.0,0.9877611293990609,C- R-
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.003684103721752763,0.988054633140564,2.0,-0.9950051380040891,C+ R+
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.008139561861753464,0.9193519353866577,3.0,-0.987761146766118,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
2.0,0.00813957117497921,0.9193517565727234,3.0,-0.9877611293990607,C+ R-
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9915131330490112,0.0030164960771799088,0.0,0.9959305626571768,C- R+
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.9165364503860474,0.008198886178433895,1.0,0.9876179879678473,C- R-
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
3.0,0.0030164960771799088,0.9915131330490112,2.0,-0.9959305626571772,C+ R+
